Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,ContactSource,TitleType,DepartmentGroup,BuyerAttributes,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
00518ff5-f7f3-4d10-bf10-88dc5d196193,0f3a4ac0-5f1d-4958-8669-aedd66cef3a1,Jake,Otha,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(319)461-4462,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+205@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
01382fd1-f6d4-47bf-aade-bcd92d965ec3,2c06c6a8-4482-4d60-a578-b8aaec7a45db,Davey,Abbi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(121) 869-9204,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+599@gmail.com,Co-Chair and Trustee,#N/A,#N/A,#N/A,#N/A,"Bill Gates shapes and approves foundation strategies, advocates for the foundation’s issues, and sets the organization’s overall direction.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
02c610b3-3d7b-430e-8839-4c3fbeaee479,5f6e013d-e183-43f1-8f2e-62d04707c1a1,Dill,Charmine,#N/A,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,(02) 6776 6605,(02) 6776 6605,0425 790 471,#N/A,#N/A,(02) 6776 6605,jmanningcongagdo+687@gmail.com,"SVP, Technology",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
02dc5879-b737-4edf-bf4c-2bb96aa24d15,9505ec67-fc3a-4100-b982-4d5a6c4cdb4a,Kellby,Natalya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(243) 475-8098,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+185@gmail.com,EVP & General Counsel,#N/A,#N/A,#N/A,#N/A,"Nicole Jones is Executive Vice President and General Counsel for Cigna, reporting to Chief Executive Officer David Cordani. Jones rejoined Cigna after serving as Senior Vice President and General Counsel for Lincoln Financial. From 2006 to 2010, Jones was Cigna's deputy general counsel, corporate secretary and chief counsel of domestic health service, securities and investment law.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
03217019-0cdc-4bb1-ad5e-d1a83716e883,72c0aaf1-7f4d-4f3f-a5ba-f9b5bca3e544,Che,Merla,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97 Gordon Terrace,BARTON BENDISH,#N/A,PE33 1YD,UK,#N/A,#N/A,#N/A,80 4352 5277,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+165@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
04b78f06-e38b-4e40-a86a-319aa9a55969,4edb158e-f962-42dd-ac2a-f5f5baf46841,Brannon,Kaye,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3931,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+499@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
04cfa199-551a-4a2c-bee7-f4209ab28ac3,4a6fe7d4-ed81-4322-98f7-4f55e975336a,Batholomew,Birdie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1 Arrowhead Drive,Kansas City,MO,64129,USA,#N/A,#N/A,#N/A,(625) 707-5047,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+770@gmail.com,"EVP, General Counsel and Secretary",#N/A,#N/A,#N/A,#N/A,"Arthur R. Block serves as Executive Vice President, General Counsel and Secretary of Comcast. He previously served as Senior Vice President, General Counsel and Secretary of Comcast. He is the Company’s chief legal officer, overseeing Comcast’s legal, corporate governance and strategic intellectual property functions. Art has been with Comcast since 1989; during this time, he has served as the lead in-house attorney for Comcast’s mergers, acquisitions and financings.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0520bc67-7d15-44a3-9fcb-3c9948ec2cab,9505ec67-fc3a-4100-b982-4d5a6c4cdb4a,Redford,Jeana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(535) 474-3781,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+187@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"David Cordani became President and CEO of Cigna in 2009 and has spearheaded its transformation into a leading global health service company, doubling the size of the company in six years. He is a prominent voice addressing key health challenges, such as the empowering of individuals to manage their own health, innovating new health delivery models focused on patients’ health improvements, and partnering with physicians to focus on wellness, and improving clinical quality.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
05a59749-0579-41e4-a201-ed9f4adc07d9,9505ec67-fc3a-4100-b982-4d5a6c4cdb4a,Vidovik,Lauraine,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(402)952-5052,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+204@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
05bcbe8e-ac89-4eba-b3ba-36f8ea9ead15,bd1e547b-5e66-46f7-86ff-501480d0f1f0,Maurice,Hyacinth,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4026,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+763@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
